Date,High,Low,Close,Volume,Open
2022-10-12,284.549988,279.25,283.149994,1271565,282.399994
2022-10-13,283.299988,276.5,280.450012,1074518,283.299988
2022-10-14,291.0,282.149994,282.799988,2267921,287.0
2022-10-17,283.799988,279.0,281.600006,915070,282.200012
2022-10-18,285.899994,280.149994,281.399994,1362739,284.700012
2022-10-19,282.899994,268.950012,272.200012,2008682,282.0
2022-10-20,286.899994,270.350006,286.0,3501417,272.200012
2022-10-21,288.100006,277.299988,280.399994,2047060,287.5
2022-10-24,284.0,278.549988,282.149994,438800,284.0
2022-10-25,282.0,272.0,274.100006,2799096,282.0
2022-10-27,277.0,269.299988,270.200012,1992315,276.5
2022-10-28,272.350006,262.200012,263.049988,2292558,270.399994
2022-10-31,272.5,265.299988,270.850006,2530321,265.700012
2022-11-01,279.049988,270.5,278.149994,2175522,271.299988
2022-11-02,280.649994,274.25,279.399994,1647234,278.0
2022-11-03,278.899994,274.149994,278.0,1155414,275.399994
2022-11-04,279.399994,272.0,274.100006,1437224,278.850006
2022-11-07,277.75,260.549988,271.600006,2623565,260.549988
2022-11-09,279.950012,273.0,274.299988,1895353,274.700012
2022-11-10,275.799988,270.299988,272.649994,1008514,273.0
2022-11-11,286.799988,279.0,282.049988,5472847,282.0
2022-11-14,287.799988,281.600006,285.350006,2928151,283.0
2022-11-15,286.600006,279.899994,282.5,1092548,285.950012
2022-11-16,286.5,277.450012,279.450012,1431356,285.399994
2022-11-17,278.950012,274.0,275.450012,1113069,277.0
2022-11-18,286.75,275.0,285.950012,3820918,276.0
2022-11-21,285.5,278.0,279.25,1434177,285.5
2022-11-22,280.399994,273.0,274.549988,1565137,279.350006
2022-11-23,279.049988,274.649994,278.350006,1596749,276.549988
2022-11-24,294.0,279.0,292.299988,5323676,279.700012
2022-11-25,296.25,291.0,293.899994,3518144,294.600006
2022-11-28,304.0,293.700012,299.600006,5038833,294.799988
2022-11-29,300.549988,295.049988,295.549988,1707230,300.200012
2022-11-30,307.049988,294.649994,305.25,3774440,296.200012
2022-12-01,325.299988,310.5,323.799988,14224521,311.0
2022-12-02,333.0,321.75,331.549988,5883877,325.399994
2022-12-05,334.700012,328.350006,329.450012,3717789,333.200012
2022-12-06,328.950012,320.649994,323.700012,2358626,326.0
2022-12-07,322.799988,315.700012,317.549988,1968986,321.5
2022-12-08,325.950012,314.700012,323.850006,2661288,317.549988
2022-12-09,328.5,306.649994,309.350006,3829455,327.0
2022-12-12,310.549988,299.350006,307.600006,2916041,308.950012
2022-12-13,312.200012,305.049988,305.950012,1570184,310.0
2022-12-14,314.899994,307.600006,312.450012,2737777,307.600006
2022-12-15,312.649994,301.75,303.950012,2269711,312.649994
2022-12-16,307.850006,297.75,302.549988,2021663,300.0
2022-12-19,304.450012,296.649994,300.649994,1523678,302.0
2022-12-20,299.799988,292.0,298.850006,1893667,299.799988
2022-12-21,307.700012,298.25,299.649994,2165019,301.0
2022-12-22,305.0,293.049988,296.25,1887343,303.450012
2022-12-23,294.899994,278.0,279.950012,2148394,292.0
2022-12-26,293.0,277.75,291.649994,1703065,280.0
2022-12-27,298.899994,290.700012,297.200012,1546220,295.0
2022-12-28,296.399994,288.700012,293.399994,1857151,296.399994
2022-12-29,294.149994,289.0,293.100006,1137712,290.200012
2022-12-30,305.450012,297.100006,298.75,3410280,298.450012
2023-01-02,300.700012,293.799988,297.350006,1379929,300.0
2023-01-03,300.350006,292.299988,299.600006,2515189,294.5
2023-01-04,299.899994,292.649994,294.75,1599439,299.899994
2023-01-05,295.799988,289.049988,291.700012,1806809,294.75
2023-01-06,291.5,282.75,283.649994,2295178,290.899994
2023-01-09,294.950012,287.399994,293.649994,3174952,287.399994
2023-01-10,293.450012,288.0,290.350006,1398351,293.450012
2023-01-11,297.950012,290.5,294.299988,1536020,291.850006
2023-01-12,296.799988,287.850006,289.700012,1262689,295.799988
2023-01-13,295.0,287.299988,293.700012,2186938,292.799988
